"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL130";"CHLORAMPHENICOL";"9-HYDROXY-9-PHENYLXANTHENE|9-PHENYL-9H-XANTHEN-9-OL|AMPHICOL|BROCHLOR|BROLENE ANTIBIOTIC|CHLORAMPHENICOL|CHLOROFAIR|CHLOROPTIC|CHLOROPTIC S.O.P.|Chloramex|Chloramphenicol|Chlorbiotic|Chloromycetin|ECONOCHLOR|GOLDEN EYE ANTIBIOTIC|KEMICETINE|KLORAFECT|Kernispray|MYCHEL|Mychel-S|NSC-16331|NSC-3069|OPHTHOCHLOR|OPTOMYCIN|SNO PHENICOL|TUBILUX INFECTED EYES|Tevcocin|XANTHEN-9-OL, 9-PHENYL-";"NSC-16331|NSC-3069";"4.0";"Ivax Pharmaceuticals Inc Sub Teva Pharmaceuticals Usa|Armenpharm Ltd|Optopics Laboratories Corp|John J Ferrante|Parkedale Pharmaceuticals Inc|Alcon Laboratories Inc|Pharmafair Inc|Parke Davis Pharmaceutical Research Div Warner Lambert Co|Allergan Pharmaceutical|Akorn Operating Co Llc";"";"";"";"";"1950";"S01AA01 | S03AA08 | D06AX02 | G01AA05 | S02AA01 | D10AF03 | J01BA01";"S01AA - Antibiotics | S03AA - Antiinfectives | D06AX - Other antibiotics for topical use | G01AA - Antibiotics | S02AA - Antiinfectives | D10AF - Antiinfectives for treatment of acne | J01BA - Amphenicols";"S01A - ANTIINFECTIVES | S03A - ANTIINFECTIVES | D06A - ANTIBIOTICS FOR TOPICAL USE | G01A - ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS | S02A - ANTIINFECTIVES | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE | J01B - AMPHENICOLS";"S01 - OPHTHALMOLOGICALS | S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS | D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE | G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS | S02 - OTOLOGICALS | D10 - ANTI-ACNE PREPARATIONS | J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"S - SENSORY ORGANS | S - SENSORY ORGANS | D - DERMATOLOGICALS | G - GENITO URINARY SYSTEM AND SEX HORMONES | S - SENSORY ORGANS | D - DERMATOLOGICALS | J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial; Antirickettsial";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"1";"1";"0";"Unknown";"O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl"
"CHEMBL644";"TRIMIPRAMINE";"7162 RP|7162-RP|IL 6001|IL-6001|Surmontil|TRIMEPROPRIMINE|TRIMIPRAMINE|Trimipramine";"7162 RP|7162-RP|IL 6001|IL-6001";"4.0";"Usl Pharma Inc|Elite Laboratories Inc|Odyssey Pharmaceuticals Inc|Crossmedika Sa";"'-pramine'";"1966";"antidepressants (imipramine type)";"'-pramine(-pramine)'";"1979";"N06AA06";"N06AA - Non-selective monoamine reuptake inhibitors";"N06A - ANTIDEPRESSANTS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"Antidepressant";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"1";"Prescription Only";"CC(CN(C)C)CN1c2ccccc2CCc2ccccc21"
"CHEMBL781";"MAZINDOL";"42-548|AN-448|MAGRILON|MAZILDENE|MAZINDOL|MAZINDOL CIV|Mazanor|SAH-42548|Sanorex|TERENAC|TERONAC";"42-548|AN-448|SAH-42548";"4.0";"Wyeth Ayerst Laboratories|Novartis Pharmaceuticals Corp";"";"1970";"";"";"1973";"A08AA05";"A08AA - Centrally acting antiobesity products";"A08A - ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS";"A08 - ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS";"A - ALIMENTARY TRACT AND METABOLISM";"Anorexic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Discontinued";"OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21"
"CHEMBL652";"FLECAINIDE";"FLECAINIDE|Flecainide|NSC-719273|THN-102 COMPONENT FLECAINIDE";"NSC-719273|THN-102 COMPONENT FLECAINIDE";"4.0";"Alvogen Inc|Sun Pharmaceutical Industries Ltd|Aurobindo Pharma Ltd|Ani Pharmaceuticals Inc|Yichang Humanwell Pharmaceutical Co Ltd|Amneal Pharmaceutical|Chartwell Life Molecules Llc|Hikma Pharmaceuticals Usa Inc|Beximco Pharmaceuticals Usa Inc";"";"1977";"";"";"1985";"C01BC04";"C01BC - Antiarrhythmics, class Ic";"C01B - ANTIARRHYTHMICS, CLASS I AND III";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"Cardiac Depressant (anti-arrhythmic)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"1";"Prescription Only";"O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F"
"CHEMBL655";"MIDAZOLAM";"MIDAZOLAM|MIDAZOLAM CIV|MIDAZOLAM IN 0.8% SODIUM CHLORIDE|MIDAZOLAM IN 0.9% SODIUM CHLORIDE|NAYZILAM|USL-261|USL261";"USL-261|USL261";"4.0";"Inforlife Sa|Igi Laboratories Inc|Atlantide Pharmaceuticals Ag|Akorn Operating Co Llc|Hikma Pharmaceuticals International Ltd|Bedford Laboratories Div Ben Venue Laboratories Inc|Meridian Medical Technologies Llc|Fresenius Kabi Usa Llc|Steriscience Pte Ltd|Apothecon Inc Div Bristol Myers Squibb";"";"1978";"";"";"1985";"N05CD08";"N05CD - Benzodiazepine derivatives";"N05C - HYPNOTICS AND SEDATIVES";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"Anesthetic (injectable),Anesthetic (intravenous)";"US-8217033-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"1";"1";"1";"Prescription Only";"Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2"
"CHEMBL1200412";"NANDROLONE PHENPROPIONATE";"Durabolin|NANDROLONE PHENPROPIONATE|NANDROLONE PHENYLPROPIONATE|NORANDROSTENOLONE PHENYLPROPIONATE|NORTESTOSTERONE FURANPROPIONATE|NORTESTOSTERONE PHENYLPROPIONATE";"";"4.0";"Watson Laboratories Inc|Organon Usa Inc";"'-andr-; -olone'";"";"androgens; steroids (not prednisolone derivatives)";"'-andr-(-andr-); -olone(-olone)'";"1959";"A14AB01 | S01XA11";"A14AB - Estren derivatives | S01XA - Other ophthalmologicals";"A14A - ANABOLIC STEROIDS | S01X - OTHER OPHTHALMOLOGICALS";"A14 - ANABOLIC AGENTS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS";"A - ALIMENTARY TRACT AND METABOLISM | S - SENSORY ORGANS";"Androgen";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"0";"1";"0";"0";"Discontinued";"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1"
"CHEMBL1294";"QUINIDINE";"(8R,9S)-QUINIDINE|.BETA.-QUINIDINE|CONQUININE|KINIDIN|PITAYINE|QUINIDINE";"";"4.0";"Dava Pharmaceuticals Inc|Scherer Laboratories Inc|Eywa Pharma Inc|Sun Pharmaceutical Industries Inc|Halsey Drug Co Inc|Watson Laboratories Inc|Ascot Hosp Pharmaceuticals Inc Div Travenol Laboratories Inc|Kv Pharmaceutical Co|Purepac Pharmaceutical Co|Impax Laboratories Inc";"";"";"";"";"1950";"C01BA01 | C01BA51 | C01BA71";"C01BA - Antiarrhythmics, class Ia | C01BA - Antiarrhythmics, class Ia | C01BA - Antiarrhythmics, class Ia";"C01B - ANTIARRHYTHMICS, CLASS I AND III | C01B - ANTIARRHYTHMICS, CLASS I AND III | C01B - ANTIARRHYTHMICS, CLASS I AND III";"C01 - CARDIAC THERAPY | C01 - CARDIAC THERAPY | C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM";"Cardiac Depressant (anti-arrhythmic)";"US-7659282-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"1";"0";"1";"Prescription Only";"C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12"
"CHEMBL1301";"HYDROXYSTILBAMIDINE";"HYDROXYSTILBAMIDINE|Hydroxystilbamidine";"";"4.0";"Sanofi Aventis Us Llc";"'-amidine'";"";"pentamidine derivatives/analogues";"'-amidine(-amidine)'";"1953";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"1";"0";"0";"Discontinued";"N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1"
"CHEMBL1305";"ANTAZOLINE";"ANTAZ SULF|ANTAZOLINE|ATAZOLINE|Antazoline|VASOCON-A|Vasocon-A";"";"4.0";"Novartis Pharmaceuticals Corp";"'-azoline'";"";"antihistamines/local vasoconstrictors (antazoline type)";"'-azoline(-azoline)'";"1994";"R01AC04 | R06AX05";"R01AC - Antiallergic agents, excl. corticosteroids | R06AX - Other antihistamines for systemic use";"R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE | R06A - ANTIHISTAMINES FOR SYSTEMIC USE";"R01 - NASAL PREPARATIONS | R06 - ANTIHISTAMINES FOR SYSTEMIC USE";"R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM";"Antihistaminic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"1";"0";"Discontinued";"c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1"
"CHEMBL2218885";"VERTEPORFIN";"BPD-MA|CL 318,952|CL-318952|VERTEPORFIN|Visudyne";"CL 318,952|CL-318952";"4.0";"Valeant Pharmaceuticals Luxembourg Sarl";"'-porfin'";"1993";"benzoporphyrin derivatives";"'-porfin(-porfin)'";"2000";"S01LA01";"S01LA - Antineovascularisation agents";"S01L - OCULAR VASCULAR DISORDER AGENTS";"S01 - OPHTHALMOLOGICALS";"S - SENSORY ORGANS";"Antineoplastic";"None";"1:Synthetic Small Molecule";"0";"0";"Unknown";"0";"0";"1";"0";"0";"Prescription Only";"C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)c(CCC(=O)OC)c4C)C1(C)C3=CC=C(C(=O)OC)C1C(=O)OC.C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)O)c4C)C1(C)C3=CC=C(C(=O)OC)C1C(=O)OC"
